,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
10,2021-11-10,Thomas Novak,away,Nashville Predators,Dallas Stars,C,9.9166666666667,0,1,0,0.08,0,0,0,0,2,1,0,0.26,0.11,20212022,0.3723333333333344,0.3723333333333344,0.3723333333333344,0.3723333333333344,0.6276666666666656,0.3723333333333344,-0.1123333333333344,0.2623333333333344,0.74,-0.02,0.154791666666666,0.8109312500000011,1.6857229166666672,,,11,0.08156281512120796,0.17140801088338842,0.17140801088338842,,0.13427464259194113,0.0,1,0.13427464259194113
11,2021-11-11,Thomas Novak,away,Nashville Predators,St Louis Blues,C,11.9,0,0,0,0.16,0,0,0,1,2,0,0,0.44,0.37,20212022,0.4358,0.4358,0.4358,0.4358,-0.4358,0.4358,0.0041999999999999815,0.06580000000000003,0.08,-0.01,-0.39737500000000003,0.43676125,0.10938624999999996,,,12,0.16192029435405803,0.16817455691633457,0.16817455691633457,,0.165063933236208,0.0,1,0.165063933236208
12,2021-11-13,Thomas Novak,home,Nashville Predators,Arizona Coyotes,C,10.65,0,0,0,0.02,0,1,1,2,3,0,0,0.5,0.0,20212022,0.3958,0.3958,0.3958,0.3958,-0.3958,0.3958,0.10420000000000001,0.3958,0.01,-0.01,-0.334875,1.02301125,0.6881362499999999,,,13,0.1594096748752176,0.19441481784725612,0.19441481784725612,,0.1822505689132877,0.0,1,0.1822505689132877
13,2021-11-16,Thomas Novak,away,Nashville Predators,Toronto Maple Leafs,C,9.25,0,0,0,0.23,0,0,0,0,3,0,0,0.55,0.46,20212022,0.351,0.351,0.351,0.351,-0.351,0.351,0.19900000000000007,-0.10900000000000004,0.115,-0.03,-0.275625,0.19313124999999998,0.0025062499999999877,,,14,0.18361321068533681,0.18501914871238423,0.18501914871238423,,0.1886927388338958,0.0,1,0.1886927388338958
14,2021-11-22,Thomas Novak,home,Nashville Predators,Anaheim Ducks,C,13.366666666667,0,0,0,0.15,0,0,0,2,2,0,0,0.22,0.25,20212022,0.482733333333344,0.482733333333344,0.482733333333344,0.482733333333344,-0.482733333333344,0.482733333333344,-0.26273333333334403,0.232733333333344,0.075,0.0,-0.5642083333333401,0.6909212500000114,0.2017129166666713,,,15,0.17564205664916988,0.1858136783846606,0.1858136783846606,,0.1833021162781471,0.0,1,0.1833021162781471
15,2021-11-24,Thomas Novak,home,Nashville Predators,Vegas Golden Knights,C,15.416666666667,0,0,0,0.0,0,0,1,7,2,0,1,0.4,0.26,20212022,0.548333333333344,0.548333333333344,0.548333333333344,0.548333333333344,-0.548333333333344,-0.451666666666656,-0.14833333333334398,0.288333333333344,0.0,0.2,-0.49270833333334,0.30653125000001136,0.013822916666671348,,,16,0.17675327074596575,0.17784106607846184,0.17784106607846184,,0.1802007453654893,0.0,1,0.1802007453654893
16,2021-11-26,Thomas Novak,home,Nashville Predators,New Jersey Devils,C,13.15,0,0,0,0.07,0,0,0,2,4,1,2,0.48,0.36,20212022,0.4758,0.4758,0.4758,0.4758,0.5242,-1.5242,0.0041999999999999815,0.11580000000000001,0.035,-0.02,0.22762499999999997,-0.37848874999999993,-0.13586374999999995,,,17,0.17006818454495598,0.16365335731513148,0.16365335731513148,,0.17921517265465436,0.0,1,0.17921517265465436
17,2021-11-27,Thomas Novak,away,Nashville Predators,Colorado Avalanche,C,14.483333333333,0,0,0,0.18,2,0,0,2,4,0,2,0.38,0.52,20212022,0.5184666666666561,0.5184666666666561,0.5184666666666561,0.5184666666666561,-0.5184666666666561,-1.4815333333333438,-0.13846666666665608,-0.0015333333333439336,0.19,-0.02,-0.4865416666666601,-0.6048887500000112,-0.9214304166666712,,,18,0.1579661402674583,0.11569657988903317,0.11569657988903317,,0.18145218825914566,0.0,1,0.18145218825914566
18,2021-11-30,Thomas Novak,home,Nashville Predators,Columbus Blue Jackets,C,14.55,0,0,1,0.0,0,0,0,6,2,1,0,0.76,0.1,20212022,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.47939999999999994,0.5206000000000001,0.23939999999999995,0.4206000000000001,0.55,0.04,0.374625,0.98639125,1.9510162500000001,,,19,0.11681673615447408,0.1950825271365288,0.1950825271365288,,0.19441604297896667,0.0,1,0.19441604297896667
19,2021-12-02,Thomas Novak,home,Nashville Predators,Boston Bruins,C,10.95,0,0,0,0.13,0,0,0,3,3,0,0,0.98,0.23,20212022,0.4054,0.4054,0.4054,0.4054,-0.4054,0.4054,0.5746,0.17539999999999997,0.065,0.0,-0.04087500000000005,0.64227125,0.6663962499999999,,,20,0.1845458687247411,0.21506230611998392,0.21506230611998392,,0.212791928213996,0.0,1,0.212791928213996
